nome,texto,data_post,palavra_chave,is_palavrao,cidade,sentiment,id_ref
@PaulimVizim,"Foi esse Lixo ai que recebeu o Ladrão pra Mostrar o Buraco de Araraquara dia 08/01....
... é o ""alibi"" do Bandido !!",2024-11-03 19:58:43,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.232
@brasil_burns,Será que a ficaram com medo da polícia de Araraquara?,2024-11-02 00:30:13,policia,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.233
@CosttaBrunnu,Cadê o sargento pincel e o sapão que estava assistindo tudo de camarote????? Por que mandaram o ladrão ir à Araraquara do nada????,2024-11-01 22:33:31,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.234
@SerafimMendesC3,"G. Dias e cumplice.
Flavio gordola e cumplice.
O lula ladrao sabia de tudo no sabado. Foi fazer o que Em Araraquara? 
Tudo planejado com muita antecedencia. Os infiltrados quebraram tudo e estao livres.
Um dia, em breve, um dia vai todos pra cadeia. Bando de comunistas imundos.",2024-11-01 20:56:31,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.235
@rafangeli," Prefeitura de Araraquara foge do esclarecimento e ataca vereador Rafael de Angeli  Em resposta, vereador questiona transparência na concessão do lixo por R$ 2 bilhões e denuncia riscos de tarifas mais altas para a população. #Araraquara #Lixo",2024-11-01 20:02:31,denuncia,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.236
@DLazzaroto53479,"Carla ZAMBELLI uma criminosa que quase matou  uma pessoa em via pública ,que contratou um hacker para grampear ministérios, SENDO  OUVIDA À RESPEITO DA PEC DA SEGURANÇA é  um acinte.
Se essa v@g@bunda está solta,o HACKER DE ARARAQUARA TAMBÉM  DEVERIA ESTAR",2024-11-01 14:20:49,seguranca,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.237
@araraquara20,"Disse eu. Se vc estiver bebendo, sem mostrar a marca e sem fazer confusão, a polícia não pode buscar pelo álcool. Todo mundo faz isso pq todo mundo considera essas leis sobre álcool ridículas. Se vc for buscar pelas tecnicalidades, é ilegal, mas aqui no br é ilegal vender bebida+",2024-11-01 11:10:06,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.238
@WilsonS89751,"Na verdade, o que houve ali foi uma farsa.Colocaram  pessoas esquerdistas para imflamarem  pessoas revoltadas com resultado da eleição. Profissionais nisso PT.  XANDAO e todos do STF, apoiando  Ladrão de 9 Dedos. O ladrão na casa do Pilantra Edinho em Araraquara como na soubesse.",2024-11-01 01:33:03,ladrao,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.239
@BancariosA,"Resultados não são apenas cálculos de números frios, mas traduzem o empenho diário das bancárias e bancários, que precisam ser reconhecidos com a manutenção e segurança de seus postos de trabalho.",2024-10-31 21:53:34,seguranca,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.240
@LittleJoeyzinho,"Policia e bosta em Araraquara é a msm coisa pqp
Viatura demorando mais de 1 hr p chegar na porra de um acidente c vitima
Ainda bem q ficou bem",2024-10-31 17:52:40,policia,True,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.241
@NELSINH10622207,"Bandido  quem deveria Morrer na Cadeia é Voce ladrão fdp,são inocentes você veio se esconder na minha cidade, que Graças a Deus Araraquara SP se livrou do Edinho dos Respiradores, que faltou e Matou meus amigos, o seu tá guardado",2024-10-30 19:06:09,bandido,True,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.242
@NELSINH10622207,"Bandido  quem deveria Morrer na Cadeia é Voce ladrão fdp,são inocentes você veio se esconder na minha cidade, que Graças a Deus Araraquara SP se livrou do Edinho dos Respiradores, que faltou e Matou meus amigos, o seu tá guardado",2024-10-30 19:04:59,bandido,True,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.243
@NELSINH10622207,"Bandido  quem deveria Morrer na Cadeia é Voce ladrão fdp,são inocentes você veio se esconder na minha cidade, que Graças a Deus Araraquara SP se livrou do Edinho dos Respiradores, que faltou e Matou meus amigos, o seu tá guardado",2024-10-30 19:04:51,bandido,True,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.244
@indignsuprema,"Hoje, está bastante claro que o Hacker de Araraquara, foi somente pra que os Ministros do Supremo tivessem um álibi para não entregar os celulares pra polícia. E ficou tudo por isso mesmo.",2024-10-30 17:47:45,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.245
@NELSINH10622207,"Bandido  quem deveria Morrer na Cadeia é Voce ladrão fdp,são inocentes você veio se esconder na minha cidade, que Graças a Deus Araraquara SP se livrou do Edinho dos Respiradores, que faltou e Matou meus amigos, o seu tá guardado",2024-10-30 19:06:09,bandido,True,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.317
@NELSINH10622207,"Bandido  quem deveria Morrer na Cadeia é Voce ladrão fdp,são inocentes você veio se esconder na minha cidade, que Graças a Deus Araraquara SP se livrou do Edinho dos Respiradores, que faltou e Matou meus amigos, o seu tá guardado",2024-10-30 19:04:59,bandido,True,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.318
@NELSINH10622207,"Bandido  quem deveria Morrer na Cadeia é Voce ladrão fdp,são inocentes você veio se esconder na minha cidade, que Graças a Deus Araraquara SP se livrou do Edinho dos Respiradores, que faltou e Matou meus amigos, o seu tá guardado",2024-10-30 19:04:51,bandido,True,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.319
@indignsuprema,"Hoje, está bastante claro que o Hacker de Araraquara, foi somente pra que os Ministros do Supremo tivessem um álibi para não entregar os celulares pra polícia. E ficou tudo por isso mesmo.",2024-10-30 17:47:45,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.320
@GrandeAcordo,"Você faz as as merdas, monta conluio com juíz, deixa o telegram aberto e cai no golpe do hacker de Araraquara, deixa toda a quadrilha na mão e agora vai colocar a culpa do Gilmar ?",2024-10-29 21:57:29,golpe,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.321
@mataourgentebot," A Polícia Militar de Araraquara protagonizou uma tensa perseguição que durou 20 minutos em bairros perigosos, culminando na prisão de um criminoso de 28 anos com um carro furtado! A segurança pública em ação! #PolíciaEmFoco #SegurançaPública",2024-10-29 20:01:06,policia,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.322
@portalmorada,"Cortes JM 29/10/2024 - Anistia para os participantes do 08 de janeiro? Pesos diferentes da justiça
#portalmorada #araraquara #crime #justiça #brasília",2024-10-29 18:54:28,crime,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.323
@portalmorada,"Cortes JM 28/10/2024 - Polícia persegue casal em carro furtado no bairro Vale Verde
#portalmorada #araraquara #polícia #perseguição #combateaocrime",2024-10-28 20:06:05,policia,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.324
@INGODWETRUSTBR,"@mendaoguilherme
 é uma aberração como comentarista, gostaria que ele respondesse sobre a sucessão do protegido do Lula, Edinho Silva, em Araraquara.
Lá ganhou o PL, lembrando que a cidade é parte central na armação do “golpe em 08/01”…",2024-10-28 18:23:14,golpe,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.325
@elgoulart69,"O besta é fera, ir atrás dos verdadeiros depredadores esse STF não quer saber. O Lula fugiu para Araraquara,os terroristas estavam dentro dos prédios juntos com a  segurança. Agora dizer que o ""gabinete"" do deputado, sem recursos, sem posse, sem estar ou ser deputado, deu golpe",2024-10-27 00:19:00,seguranca,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.326
@Renato_RCabrini,"Você é uma canalha mal caráter e mentirosa. Até ameaça de tiro de fascista eu sofri aqui em Araraquara, uma cidade governada pelo PT, por colar cartaz contra o impeachment de Dilma nos postes, ""sujando"" a cidade. Enquanto o próprio PT dizia que não ia ter golpe.",2024-10-26 22:38:23,golpe,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.327
@BancariosA,"Jogo de Informações: o que a mídia não te contou sobre as contas das estatais

Reportagem veiculada no Jornal Nacional, em 22 de outubro, chama de “déficit” investimentos em tecnologia e segurança nacional e, ainda, deixa de fora do levantamento maiores empresas públicas do país.",2024-10-25 16:50:01,seguranca,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.328
@StaackRicardo,"Desinformação,  quem acabou com a lava jato foi o hacker de Araraquara,  mostrou que eram patifes o Moro e o pastor picareta  Delagnol. Moro ministro do nazista ia para o STF se o golpe do  bozonazi trumpista bannonista tivesse dado certo.",2024-10-25 12:59:55,golpe,False,Araraquara,negative,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.329
@PauloMotta44,"Vale lembrar que G. Dias era conhecido como ""Sombra"" [de Lula] por justamente acompanhar Lula em todos os lugares (mais do que compreensível, dado que era chefe de sua segurança), mas não acompanhou o presidente até Araraquara. 

Só imagino o porquê.",2024-10-24 22:47:38,seguranca,False,Araraquara,neutral,f.7202293C1835BC80EEA6A443BEE1A425.d.B5FD3B99642A7652C3F2B3EC148C0D2E.e.330
